__v,_id,courier,courierCode,createdAt,inTransit,isArchived,isDelivered,isReturned,isShipped,method,otn,package,packaging.height,packaging.length,packaging.name,packaging.width,products,weight
0,623d9ba4613f77ed646e9588,seur,54580141720905,2022-03-25T10:38:28.271Z,FALSE,TRUE,TRUE,TRUE,FALSE,seur 24,ML28ZVU1647951664R1,,8,37,,28,"[{""$oid"":""6239bf30ab7ac3f67702ec43""}]",1.381333333
0,623d9ba51f7d7a8191594dbc,TIPSA,4000346449,2022-03-25T10:38:29.812Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z49DT1648204708P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9ba5f3909ff16ba5e119""}]",7
0,623d9ba7dc9749fec2cfac68,TIPSA,4000346450,2022-03-25T10:38:31.261Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4MNT1648204709P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9ba63e4302a1a567d6ad""}]",45
0,623d9babbe305f7f32f1ce3d,TIPSA,4000346451,2022-03-25T10:38:35.105Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4QZV1648204713P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9baad9c45a73ecbe2acc""}]",6
0,623d9bac1f7d7a68bf594dc1,TIPSA,4000346452,2022-03-25T10:38:36.088Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4RF81648204714P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9babbe305f02c1f1ce3e""}]",56
0,623d9badbe305f195bf1ce47,CORREOS,32300050462538001437819,2022-03-25T10:38:37.715Z,FALSE,FALSE,TRUE,FALSE,FALSE,express,L6WMMLY1648136321P1,61b750ce846d2d0035122a84,8,31,Packaging mediano,23,"[{""$oid"":""623c90a086a9de591c4fe8bb""}]",0.952568
0,623d9bb034b23731ffabbbbc,TIPSA,4000346453,2022-03-25T10:38:40.130Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4HWN1648204718P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9baf45d5460ca1898768""}]",56
0,623d9bb1f7006fb064a75627,TIPSA,4000346454,2022-03-25T10:38:41.521Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4JZE1648204719P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bb045d546ab2c89876d""}]",6
0,623d9bb29c1daa79df71a127,NACEX,00190322409039285827,2022-03-25T10:38:42.805Z,FALSE,FALSE,TRUE,FALSE,FALSE,e-nacex,6E2GCGF1648065598P1,61519c1ca165f900346945a6,10,25,CAJA MEDIANA,15,"[{""$oid"":""623b7c3f7d0cf8867c4afd53""},{""$oid"":""623b7c3f7d0cf85f094afd54""},{""$oid"":""623b7c3f7d0cf836d94afd55""},{""$oid"":""623b7c3f7d0cf80ddd4afd56""},{""$oid"":""623b7c3f7d0cf895064afd57""},{""$oid"":""623b7c3f7d0cf8bee24afd58""},{""$oid"":""623b7c3f7d0cf845cb4afd59""},{""$oid"":""623b7c3f7d0cf866104afd5a""},{""$oid"":""623b7c3f7d0cf8cc074afd5b""},{""$oid"":""623b7c3f7d0cf86a5c4afd5c""},{""$oid"":""623b7c3f7d0cf856cd4afd5d""},{""$oid"":""623b7c3f7d0cf84fe54afd5e""}]",0.62625
0,623d9bb53e4302345467d6b2,TIPSA,4000346455,2022-03-25T10:38:45.554Z,FALSE,FALSE,TRUE,FALSE,FALSE,tipsa premium,26Z4R2K1648204723P1,60093ada14c2374adef463a8,10,20,Small Box,20,"[{""$oid"":""623d9bb40630263b900573ce""}]",6
