CODCost,_id,cost,courier,courier_id,createdAt,customCourierCost,customCourierVatCost,deliverDate,estimatedDeliverDate,finalWeight,insuranceCost,isAdjusted,isCompared,isPickUpDone,isPickUpFailed,isReturn,isShipped,method,mrr,otn,packages,pickUpCode,pickupDate,processDate,vatCost,weight
0,623d6d7e33894f1f969d9965,0.09,envialia,367,2022-03-25T07:21:34.095Z,0.05,0,2022-03-28T12:38:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,envialia entrega antes de las 19:00,null,X1W6P4J1648192891S1,"[{""$oid"":""623d6d7d33894f04079d9964""}]",null,2022-03-25T15:47:00.000Z,2022-03-25T07:21:35.366Z,0,0.668
0,623d6d81f3909f4499a5dcdb,1,ups,525,2022-03-25T07:21:37.296Z,0.05,0,2022-03-30T12:41:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4BY21648192894S1,"[{""$oid"":""623d6d80f3909fde99a5dcda""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:39.869Z,0,11.29
0,623d6d82063026dfd9056f55,1,ups,525,2022-03-25T07:21:38.886Z,0.05,0,2022-03-29T13:10:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4RNE1648192896S1,"[{""$oid"":""623d6d8106302672ee056f54""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:41.463Z,0,7
0,623d6d8a36feab0deb09bbd2,1,ups,525,2022-03-25T07:21:46.856Z,0.05,0,2022-03-29T14:58:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4P9F1648192904S1,"[{""$oid"":""623d6d8a36feab5fd509bbd1""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:51.996Z,0,2
0,623d6d8d0630265f59056f5f,1,ups,525,2022-03-25T07:21:49.066Z,0.05,0,2022-03-29T12:42:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4F241648192906S1,"[{""$oid"":""623d6d8c0630267e67056f5e""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:21:51.853Z,0,4
0,623d6d979c1daa9502719c69,1,ups,525,2022-03-25T07:21:59.353Z,0.05,0,2022-03-30T15:05:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4WXF1648192916S1,"[{""$oid"":""623d6d969c1daa79a1719c68""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:01.854Z,0,5
0,623d6d975e1d945f8f2ec4cd,1,ups,525,2022-03-25T07:21:59.852Z,0.05,0,2022-03-29T10:31:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4J1K1648192917S1,"[{""$oid"":""623d6d965e1d949f5d2ec4cc""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:02.179Z,0,0.6666666667
0,623d6da1e88d8b68353d7176,1,ups,525,2022-03-25T07:22:09.322Z,0.05,0,2022-03-30T12:19:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4HSL1648192926S1,"[{""$oid"":""623d6da0e88d8b6e753d7175""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:11.914Z,0,6
0,623d6da12396377fcbe1b19f,1,ups,525,2022-03-25T07:22:09.765Z,0.05,0,2022-03-30T16:46:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4PXV1648192927S1,"[{""$oid"":""623d6da023963741b6e1b19e""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:12.523Z,0,12
0,623d6dabc58f3c11a9384e0f,1,ups,525,2022-03-25T07:22:19.329Z,0.05,0,2022-03-30T17:05:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,26Z4J651648192936S1,"[{""$oid"":""623d6daac58f3c1179384e09""}]",null,2022-03-25T19:06:00.000Z,2022-03-25T07:22:21.696Z,0,8
