_id,barcode,description,discountPrice,hsCode,name,originalId,packaged,picked,price,quantity,sku,variant,vat,weight
623d647057f54f47d9dcf86e,,,,,"Bebida de Soja Nature sin Azúcares NaturGreen, 1 L",,TRUE,FALSE,1.79,1,120711,,10,
623d647057f54f51e3dcf86a,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54f54f4dcf860,,,,,Sopa miso instant tradicional Lima 4x10gr,,TRUE,FALSE,5.31,1,9093,,10,
623d647057f54f5958dcf872,,,,,Tostadas ligeras de trigo sarraceno BIO Santiveri 100 g,,TRUE,FALSE,1.94,1,161698,,10,
623d647057f54f71eadcf86d,,,,,"Bebida de Soja Nature sin Azúcares NaturGreen, 1 L",,TRUE,FALSE,1.79,1,120711,,10,
623d647057f54f787cdcf869,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54f84f5dcf866,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54f860ddcf863,,,,,"Hummus de garbanzos Vegetalia, 180 g",,TRUE,FALSE,2.91,1,34230,,10,
623d647057f54faaffdcf868,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54fbee0dcf871,,,,,Tostadas ligeras de trigo sarraceno BIO Santiveri 100 g,,TRUE,FALSE,1.94,1,161698,,10,
623d647057f54fcaeddcf86c,,,,,"Bebida de Soja Nature sin Azúcares NaturGreen, 1 L",,TRUE,FALSE,1.79,1,120711,,10,
623d647057f54fd851dcf865,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54fde1adcf867,,,,,"Muesli Krunchy Amaranto, Espelta y Almendras Barnhouse, 375 g",,TRUE,FALSE,4.39,1,46989,,10,
623d647057f54ff73cdcf870,,,,,"Bebida de Soja Nature sin Azúcares NaturGreen, 1 L",,TRUE,FALSE,1.79,1,120711,,10,
623d649ec58f3c1183384d63,,,,,Guantes de látex FSC La Droguerie Écologique  (Talla M),,TRUE,FALSE,2.1,1,16333,,21,
623d649ec58f3cbff2384d62,,,,,Guantes de látex FSC La Droguerie Écologique  (Talla M),,TRUE,FALSE,2.1,1,16333,,21,
623d649ec58f3ceb1a384d64,,,,,Estropajo de Cocina Iberica Esponjas,,TRUE,FALSE,2.59,1,217309,,21,
623d64a9f7006f101aa751b4,,,9.9,,The Ordinary Pycnogenol 5%,,TRUE,FALSE,9.9,1,190981.7,,0,0.04
